company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000581	2024-12-31	948357 	100000 	412939 	10017940 	177331 	175058 
C0000581	2023-12-31	901292 	100000 	237881 	3912333 	39466 	35305 
C0000581	2022-12-31	1093178 	100000 	202576 	5442020 	68757 	61309 
C0000581	2021-12-31	581566 	100000 	141267 	4591711 	41153 	36774 
C0000581	2020-12-31	628810 	100000 	104493 	3174441 	4890 	4493 
C0000613	2023-12-31	482551 	4330 	4330 	2429547 	131306 	109385 
C0000613	2022-12-31	453993 	236 	236 	2736118 	113055 	105735 
C0000613	2021-12-31	401764 	1166 	1166 	1890206 	90595 	81923 
C0000613	2020-12-31	360707 	6221 	6221 	1721389 	73812 	74086 
C0000613	2018-12-31	184000 	119000 	119000 	1234000 	45000 	43000 
C0000614	2023-12-31	344380 	206340 	206340 	2190523 	77839 	74089 
C0000614	2022-12-31	343986 	325328 	325328 	1679701 	52504 	56124 
C0000614	2021-12-31	115786 	115191 	115191 	1291566 	54734 	55964 
C0000614	2020-12-31	63254 	59226 	59226 	778430 	26887 	29623 
C0000614	2019-12-31	59128 	37102 	37102 	929491 	36357 	37102 
C0000606	2022-12-31	430938 	1000 	367233 	1510562 	39155 	46057 
C0000606	2021-12-31	400327 	1000 	321176 	1386469 	16659 	16658 
C0000606	2020-12-31	438180 	1000 	304518 	1140242 	6893 	7450 
C0000606	2019-12-31	469493 	1000 	297068 	1312394 	-35485 	-45303 
C0000606	2018-12-31	523736 	1000 	342371 	1590296 	64673 	67745 
C0000615	2024-12-31	13197765 	100000 	3320033 	48015633 	361061 	39357 
C0000615	2023-12-31	12295226 	100000 	3319676 	47819296 	228691 	-135517 
C0000615	2022-12-31	12743185 	100000 	3455193 	49543140 	-892613 	-982155 
C0000615	2021-12-31	10955493 	100000 	4476348 	50924670 	2219777 	1514335 
C0000615	2020-12-31	8471590 	100000 	3001013 	53254541 	891370 	597893 
C0000590	2024-12-31	4046319 	100000 	1603047 	49724315 	383957 	279149 
C0000590	2023-12-31	2572075 	100000 	1343898 	39369296 	285770 	197476 
C0000590	2022-12-31	3276534 	100000 	1146422 	42719891 	356901 	264745 
C0000590	2021-12-31	1827477 	100000 	881677 	38565220 	284703 	235793 
C0000590	2020-12-31	1301237 	100000 	645884 	28514903 	152762 	127299 
C0000001	2024-12-31	18000588 	100000 	17366042 	102733094 	1087964 	881060 
C0000001	2023-12-31	17752810 	100000 	16784982 	83712227 	2965407 	2411550 
C0000001	2022-12-31	14684698 	100000 	14373432 	77316682 	1209071 	958204 
C0000001	2021-12-31	14879763 	100000 	13415228 	71766615 	5794271 	4543284 
C0000001	2020-12-31	9570541 	100000 	8871944 	63458095 	2892521 	2501817 
C0000122	2018-12-31	1670375 	50000 	171069 	9870812 	32139 	23339 
C0000122	2017-12-31	151865 	50000 	147730 	7375144 	12549 	8873 
C0000527	2024-12-31	172546404 	498000 	75870604 	309481611 	11861776 	2969815 
C0000527	2023-12-31	161510478 	498000 	73718258 	296278317 	19869350 	11463720 
C0000527	2022-12-31	159738939 	498000 	61948143 	270060194 	9726996 	3774221 
C0000527	2021-12-31	97735056 	498000 	63242759 	221225396 	19408468 	15022962 
C0000527	2020-12-31	99638180 	498000 	48197859 	204075984 	2586698 	-306903 
C0000519	2023-12-31	3352559 	200000 	1820196 	9606055 	273056 	146222 
C0000519	2021-12-31	2203831 	200000 	1199745 	9410952 	645853 	592624 
C0000519	2020-12-31	1634663 	200000 	607121 	6916926 	164660 	112746 
C0000519	2019-12-31	1582875 	200000 	494375 	4872915 	133367 	82668 
C0000519	2018-12-31	1422522 	200000 	411707 	6897152 	139981 	121108 
C0000582	2024-12-31	24173353 	3000000 	4948608 	33429448 	903418 	216844 
C0000582	2023-12-31	22793537 	3000000 	4731764 	31715051 	893085 	405966 
C0000582	2022-12-31	23564941 	3000000 	4325798 	32816410 	714348 	366753 
C0000582	2021-12-31	19047864 	3000000 	3959045 	25287561 	785110 	512562 
C0000582	2020-12-31	17343273 	3000000 	3446483 	19437653 	555893 	293765 
C0000584	2024-12-31	87371686 	1095359 	24958508 	131411984 	2962919 	1307541 
C0000584	2023-12-31	93754495 	1095360 	23650967 	117418112 	1672521 	-473388 
C0000584	2022-12-31	91494467 	1095360 	26308382 	97461513 	1061799 	-1853904 
C0000584	2021-12-31	71186845 	1095360 	34643459 	73488741 	152669 	17118983 
C0000584	2020-12-31	61813562 	1095360 	19957688 	65711336 	1753748 	1005094 
C0000607	2024-12-31	1060247 	185345 	251527 	1147140 	51249 	41305 
C0000607	2023-12-31	799944 	185345 	210222 	943618 	38026 	11718 
C0000607	2022-12-31	715277 	185345 	198504 	517532 	20753 	2505 
C0000607	2021-12-31	832309 	185345 	195999 	389578 	11666 	5696 
C0000607	2020-12-31	784314 	185345 	190303 	395878 	7392 	4958 
C0000089	2024-12-31	117156498 	892650 	34567628 	420497080 	1072586 	-892697 
C0000089	2023-12-31	111069103 	892650 	35460325 	419229753 	9953687 	8216125 
C0000089	2022-12-31	93329776 	892650 	27244200 	269529109 	-3899724 	-4901468 
C0000089	2022-03-31	92775641 	500000 	32145669 	367167799 	5224562 	3890901 
C0000089	2021-03-31	63129667 	500000 	28254767 	304526894 	16905310 	13717337 
C0000523	2024-12-31	17413563 	973600 	5950189 	43592202 	1156052 	391578 
C0000523	2023-12-31	15601347 	973600 	4768896 	45369390 	60346 	299275 
C0000523	2022-12-31	14050816 	973600 	4469621 	41032560 	947901 	349789 
C0000523	2021-12-31	12448401 	973600 	3079010 	34393418 	-26238 	-407203 
C0000523	2020-12-31	11093354 	973600 	3486213 	33373624 	584797 	257074 
C0000546	2023-12-31	1226407 	360000 	475853 	1418843 	-486838 	-510793 
C0000546	2022-12-31	1624623 	359999 	986646 	2762510 	-173943 	76535 
C0000546	2021-12-31	1667267 	359999 	910111 	5470089 	752361 	648333 
C0000546	2020-12-31	900840 	359999 	261778 	2807282 	104010 	98428 
C0000546	2019-12-31	663467 	360000 	163350 	1607292 	65705 	51637 
C0000179	2024-12-31	112148 	50000 	49074 	502215 	-588 	-926 
C0000147	2023-12-31	3334876 	779954 	779954 	5604896 	329804 	218935 
C0000147	2022-12-31	3177020 	1007482 	1007482 	4899658 	272554 	192660 
C0000147	2021-12-31	2933680 	774097 	774097 	3805865 	229807 	168793 
C0000147	2020-12-31	1436139 	278388 	278388 	3620295 	198753 	164779 
C0000147	2019-12-31	1540740 	371875 	371875 	4297427 	216896 	171907 
C0000572	2024-12-31	261619 	30000 	95914 	766936 	22804 	19207 
C0000572	2023-12-31	109316 	30000 	76708 	1094204 	50710 	46708 
C0000170	2023-12-31	1768978 	376460 	376460 	5215122 	190939 	115517 
C0000170	2022-12-31	3780038 	1983898 	1983898 	4473504 	169903 	101100 
C0000170	2021-12-31	3852582 	1882798 	1882798 	3351494 	159271 	96004 
C0000170	2020-12-31	3962766 	1798415 	1798415 	2670583 	161262 	90100 
C0000170	2019-12-31	1145560 	833220 	833220 	3657776 	125649 	120904 
C0000173	2024-12-31	22020868 	300000 	8069737 	45604820 	4867541 	3994685 
C0000173	2023-12-31	21828012 	300000 	4102052 	39829584 	3199679 	2722771 
C0000173	2022-12-31	17006423 	300000 	130972 	16643231 	44674 	-300426 
C0000173	2021-12-31	13519622 	300000 	431398 	5733127 	-1905588 	-2183184 
C0000173	2020-12-31	14003960 	300000 	1040650 	4176545 	209001 	3278 
C0000168	2024-12-31	2043802 	50000 	828710 	10977747 	109770 	79413 
C0000168	2023-12-31	1848812 	50000 	749297 	8337601 	113713 	78555 
C0000168	2022-12-31	1761155 	50000 	670742 	7558699 	139000 	89572 
C0000168	2021-12-31	1657242 	50000 	581170 	7910552 	115107 	82752 
C0000168	2020-12-31	1689125 	50000 	498418 	8550679 	96768 	68458 
C0000146	2024-12-31	2353805 	140000 	784846 	9487491 	232037 	183733 
C0000146	2023-12-31	1451187 	140000 	601112 	8459367 	216886 	184698 
C0000146	2022-12-31	1014274 	140000 	416415 	5166737 	151979 	133566 
C0000146	2021-12-31	620707 	140000 	282849 	3966809 	102543 	92292 
C0000146	2020-12-31	1772335 	70000 	120557 	2579114 	56168 	50557 
C0000135	2024-12-31	14736645 	636360 	2848795 	11873644 	561892 	143240 
C0000135	2023-12-31	13880590 	636360 	1910291 	12099506 	648015 	222479 
C0000135	2022-12-31	15369040 	636360 	4396001 	11170561 	548594 	236043 
C0000135	2021-12-31	11956987 	636360 	2267533 	8899029 	684377 	397745 
C0000135	2020-12-31	11984718 	636360 	1869788 	5177675 	145370 	-55123 
C0000178	2024-12-31	2362475 	200000 	554454 	4158000 	220513 	173267 
C0000178	2023-12-31	1693705 	200000 	381187 	2061991 	46898 	146684 
C0000178	2022-12-31	2534122 	200000 	234503 	2418724 	178126 	134959 
C0000178	2021-12-31	2121044 	200000 	99544 	2789476 	-14709 	-141041 
C0000178	2020-12-31	1057305 	200000 	240585 	1322571 	-3249 	4948 
C0000176	2024-12-31	6653051 	200000 	2301141 	4916938 	200157 	96946 
C0000176	2023-12-31	6578815 	200000 	2204195 	4537350 	223484 	89880 
C0000176	2022-12-31	5391685 	200000 	873318 	3992631 	263478 	147969 
C0000176	2021-12-31	5327607 	200000 	725349 	2669563 	147239 	70158 
C0000176	2020-12-31	4977200 	200000 	655192 	1629104 	129040 	80706 
C0000196	2024-12-31	7564002 	600000 	5459755 	62310705 	766236 	247176 
C0000196	2023-12-31	7460650 	600000 	5642579 	43098848 	10140 	188459 
C0000196	2022-12-31	7754823 	600000 	5602920 	32980863 	1764058 	1140327 
C0000196	2021-12-31	5949895 	600000 	4462592 	17918673 	-18457 	123021 
C0000196	2020-12-31	5607910 	600000 	4339571 	17239225 	144444 	71304 
C0000588	2023-12-31	1145596 	180000 	326752 	6078337 	93869 	90859 
C0000588	2022-12-31	647101 	30000 	88799 	3694711 	57483 	58799 
C0000548	2024-12-31	1052856 	250000 	534718 	1765258 	115356 	83571 
C0000548	2023-12-31	1021093 	20000 	221147 	2125069 	156667 	135885 
C0000548	2022-12-31	657329 	20000 	85262 	1648504 	35882 	30617 
C0000548	2021-12-31	570754 	20000 	54645 	1903677 	28777 	25276 
C0000548	2020-12-31	246378 	20000 	29369 	636787 	9715 	9369 
C0000571	2024-12-31	3240972 	270000 	2090768 	13004079 	519427 	404062 
C0000571	2023-12-31	3708008 	270000 	1686706 	13306207 	386505 	296208 
C0000571	2022-12-31	2969404 	130000 	1189587 	14345588 	391428 	311017 
C0000571	2021-12-31	1939197 	130000 	878571 	13902191 	437334 	319482 
C0000571	2020-12-31	1185592 	130000 	559089 	8704364 	288374 	238520 
C0000016	2024-12-31	3985582 	100000 	1586057 	10191867 	111003 	29108 
C0000016	2023-12-31	4303326 	100000 	1556949 	9888734 	40324 	152947 
C0000016	2022-12-31	3915132 	100000 	1404002 	9114757 	112511 	41806 
C0000016	2021-12-31	3957079 	100000 	1362196 	8669364 	75508 	24080 
C0000016	2020-12-31	1374383 	100000 	1338116 	6829580 	69278 	60995 
C0000569	2024-12-31	7338630 	100000 	2387349 	26801342 	683176 	456388 
C0000569	2023-12-31	7719341 	100000 	1969737 	23855822 	1067722 	855886 
C0000569	2022-12-31	2324904 	100000 	1113851 	14219525 	542107 	510303 
C0000569	2021-12-31	1536788 	100000 	634161 	8160052 	208742 	195247 
C0000569	2020-12-31	898636 	10000 	348914 	4441613 	58220 	66253 
C0000570	2024-12-31	11793295 	141919 	4087884 	20484955 	-2658813 	-2885156 
C0000570	2023-12-31	15134632 	141675 	6964940 	10788104 	-1947115 	-2207843 
C0000570	2022-12-31	11455508 	114999 	3259461 	18075976 	856447 	689924 
C0000570	2021-12-31	3172635 	114999 	2569538 	12246268 	66353 	192496 
C0000570	2020-12-31	1143644 	100000 	127192 	1430070 	-23046 	27192 
C0000603	2023-06-30	1276889 	100000 	637545 	8718258 	137107 	91607 
C0000603	2022-06-30	1799061 	100000 	545938 	10872747 	166368 	106379 
C0000603	2021-06-30	1852361 	100000 	439559 	7445832 	86375 	72345 
C0000603	2019-06-30	978763 	100000 	298840 	7178183 	95506 	67190 
C0000603	2018-06-30	797098 	100000 	231650 	7644215 	82812 	69602 
C0000106	2024-06-30	2343585 	50000 	449638 	4556305 	181352 	87970 
C0000106	2023-06-30	1741253 	50000 	361669 	3763700 	154340 	72973 
C0000106	2022-06-30	1610061 	50000 	288696 	1938210 	68637 	50204 
C0000106	2021-06-30	334437 	50000 	238492 	1720594 	27966 	22071 
C0000106	2020-06-30	340466 	50000 	216422 	1482148 	21523 	17855 
C0000181	2024-12-31	1129920 	10000 	503491 	10996691 	341775 	300641 
C0000181	2023-12-31	455985 	10000 	202850 	2263804 	194450 	192850 
C0000601	2024-03-31	683463 	50000 	161915 	4419130 	91100 	71151 
C0000601	2023-03-31	157054 	50000 	90764 	524107 	13103 	10985 
C0000601	2022-12-31	132291 	50000 	79779 	2278242 	27059 	29034 
C0000601	2021-12-31	62434 	50000 	50744 	350818 	1 	744 
C0000040	2024-12-31	2112684 	100000 	617087 	13377703 	117131 	38961 
C0000040	2023-12-31	2034863 	100000 	578126 	11280288 	163692 	107001 
C0000040	2022-12-31	1680212 	100000 	491125 	13057723 	156874 	98786 
C0000040	2021-12-31	965014 	100000 	412340 	12829209 	118357 	99260 
C0000040	2020-12-31	968369 	100000 	326079 	11756205 	106281 	67748 
C0000545	2024-12-31	8061065 	167000 	2026356 	18525814 	525377 	349033 
C0000545	2023-12-31	4515756 	157500 	1013661 	11081635 	244802 	170424 
C0000545	2022-12-31	2756193 	52500 	844273 	8123931 	189252 	103197 
C0000545	2021-12-31	1629295 	52500 	741076 	3183447 	24188 	59290 
C0000545	2020-12-31	464942 	50000 	231785 	831667 	200685 	181785 
C0000159	2024-12-31	1015878 	50000 	16087 	4607899 	-9221 	-9372 
C0000159	2023-12-31	701964 	50000 	25459 	4883315 	53626 	52251 
C0000159	2022-12-31	721570 	50000 	-26792 	4215408 	35687 	34501 
C0000159	2021-12-31	687994 	50000 	-61293 	4903757 	-70103 	-69341 
C0000013	2024-03-31	2481214 	50000 	2218355 	12363127 	103845 	97202 
C0000013	2023-03-31	3437230 	50000 	2141153 	15231899 	145420 	22898 
C0000013	2022-03-31	3740104 	50000 	2138255 	13387329 	200704 	184537 
C0000013	2021-03-31	4627112 	50000 	1953718 	24601143 	444464 	178328 
C0000013	2020-03-31	6594682 	50000 	1775390 	21841612 	491907 	175061 
C0000610	2023-12-31	5682588 	100000 	2157859 	10352608 	339336 	83018 
C0000610	2022-12-31	4646478 	100000 	2074841 	12360660 	101768 	190177 
C0000610	2021-12-31	3175030 	100000 	1884664 	9445444 	241522 	156417 
C0000610	2020-12-31	3263439 	100000 	1728246 	13011492 	344506 	184459 
C0000610	2019-12-31	2981527 	100000 	1543788 	13470540 	196813 	160336 
C0000532	2022-12-31	404707 	10000 	193515 	3223467 	187391 	186840 
C0000532	2021-12-31	203784 	10000 	6675 	527358 	-5456 	-3325 
C0000541	2022-12-31	2480932 	100000 	2152344 	11790238 	324780 	328637 
C0000541	2021-12-31	2280158 	100000 	1843208 	12404782 	65703 	95906 
C0000541	2020-12-31	2124851 	100000 	1747301 	10544522 	213087 	240540 
C0000541	2019-12-31	2140558 	100000 	1525761 	13142730 	308899 	269474 
C0000541	2018-12-31	1802673 	100000 	1256287 	13836850 	529182 	334167 
C0000592	2023-12-31	6925121 	100000 	4189902 	33656221 	593895 	321874 
C0000592	2022-12-31	6457591 	100000 	3868029 	44214078 	714697 	347221 
C0000592	2021-12-31	6260908 	100000 	3520807 	42584051 	1396048 	1280592 
C0000592	2020-12-31	4736615 	100000 	2240215 	27050489 	413241 	265149 
C0000592	2019-12-31	3405303 	100000 	1975066 	25852846 	330834 	220687 
C0000507	2024-12-31	4216022 	300000 	1953979 	7590806 	167015 	170669 
C0000507	2023-12-31	3953839 	300000 	1783310 	6237313 	200967 	71021 
C0000507	2022-12-31	3524272 	300000 	1712288 	4931623 	126352 	80007 
C0000507	2021-12-31	3217532 	300000 	1229635 	4670705 	74136 	24806 
C0000507	2020-12-31	2997659 	300000 	1204829 	6132784 	137974 	113056 
C0000509	2024-12-31	1956055 	100000 	762203 	15934606 	216236 	127481 
C0000509	2023-12-31	1710198 	100000 	634721 	19158400 	180290 	120951 
C0000509	2022-12-31	1246490 	100000 	513770 	20193302 	152925 	110836 
C0000509	2021-12-31	1116390 	100000 	402934 	17474783 	136515 	103977 
C0000509	2020-12-31	734009 	100000 	298957 	14720120 	100592 	74873 
C0000512	2023-12-31	308117 	30000 	94723 	9776178 	41858 	35284 
C0000512	2022-12-31	93934 	30000 	59439 	5820945 	33064 	29439 
C0000513	2024-12-31	21884186 	163350 	5523397 	31865939 	-938166 	-1073234 
C0000513	2023-12-31	18009457 	163350 	6596947 	36722091 	-359124 	-549519 
C0000513	2022-12-31	19800105 	163350 	7162021 	46324156 	1069016 	2289999 
C0000513	2021-12-31	17299909 	163350 	4868165 	29828997 	413988 	160435 
C0000513	2020-12-31	15208198 	163350 	4704619 	15358823 	-713705 	-888982 
C0000516	2024-12-31	3966532 	100000 	1078890 	43706361 	275589 	23299 
C0000516	2023-12-31	4130870 	100000 	1095591 	30217756 	398386 	239549 
C0000516	2022-12-31	3894267 	100000 	896042 	30624080 	618187 	472031 
C0000516	2021-12-31	2565714 	100000 	574012 	19875606 	331406 	268602 
C0000516	2020-12-31	1243455 	100000 	345409 	16220715 	259095 	182246 
C0000518	2023-12-31	2293076 	300000 	741301 	12114197 	113814 	40900 
C0000518	2022-12-31	2471459 	300000 	700401 	13599028 	140573 	40071 
C0000518	2021-12-31	2488793 	300000 	660329 	17224006 	-88943 	-165182 
C0000518	2020-12-31	2648310 	300000 	811079 	17648645 	14249 	31180 
C0000518	2019-12-31	3180534 	300000 	832104 	21285995 	197860 	67026 
C0000002	2024-12-31	2202183 	100000 	941398 	33649585 	237198 	161799 
C0000002	2023-12-31	1899494 	100000 	779599 	36065455 	301590 	230399 
C0000002	2022-12-31	1467992 	100000 	549200 	38142862 	274490 	228160 
C0000002	2021-12-31	885557 	100000 	321040 	21488057 	204311 	173985 
C0000002	2020-12-31	505748 	100000 	147055 	19416816 	65700 	49324 
C0000008	2023-12-31	1161533 	100000 	745412 	3126998 	-468529 	961 
C0000008	2022-12-31	1704648 	100000 	744451 	2800410 	29873 	1634 
C0000008	2021-12-31	1675458 	100000 	742816 	4310259 	27663 	4219 
C0000008	2020-12-31	1758054 	100000 	738597 	5049903 	36306 	7646 
C0000008	2019-12-31	1957000 	100000 	730951 	7121969 	16361 	-205 
C0000009	2024-12-31	30474026 	50000 	26147203 	139786314 	791785 	790796 
C0000009	2023-12-31	30830178 	50000 	25856407 	124170905 	4249794 	3483900 
C0000009	2022-12-31	26693070 	50000 	22372507 	133220219 	3067671 	2657915 
C0000009	2021-12-31	21638350 	50000 	19714592 	101440836 	9381471 	7411084 
C0000009	2020-12-31	14140464 	50000 	13303508 	78800481 	4317352 	3400268 
C0000015	2024-12-31	6439684 	100000 	1914105 	18646592 	279308 	197907 
C0000015	2023-12-31	6026770 	100000 	1784252 	26211591 	278435 	207552 
C0000015	2022-12-31	5850815 	100000 	1644755 	25747321 	242019 	186929 
C0000015	2021-12-31	3942208 	100000 	1525879 	25819955 	233633 	241236 
C0000015	2020-12-31	2905665 	100000 	1304643 	21102452 	215934 	176389 
C0000018	2023-12-31	1769506 	150000 	1460742 	18134590 	137481 	116577 
C0000018	2022-12-31	1575104 	150000 	1350329 	18105216 	132166 	121961 
C0000018	2021-12-31	1574853 	150000 	1228367 	15616753 	-133323 	-157424 
C0000018	2020-12-31	1697573 	150000 	1385791 	14162157 	121273 	86519 
C0000018	2019-12-31	1696638 	150000 	1299271 	13796131 	211463 	151137 
C0000036	2024-12-31	1369196 	40000 	1073647 	22835621 	199519 	165854 
C0000036	2023-12-31	1938529 	40000 	907793 	17503471 	233657 	172302 
C0000036	2022-12-31	2031418 	40000 	735492 	19777366 	220244 	190000 
C0000036	2021-12-31	1713938 	40000 	545492 	16543059 	93287 	75109 
C0000036	2020-12-31	794568 	40000 	470383 	10700220 	116344 	109333 
C0000038	2024-12-31	6967409 	180000 	4857252 	31730459 	515405 	455568 
C0000038	2023-12-31	5816078 	180000 	4401683 	29975794 	511525 	433749 
C0000038	2022-12-31	6831941 	180000 	3967935 	29546477 	615895 	508226 
C0000038	2021-12-31	7646975 	180000 	3485499 	29856993 	629852 	531210 
C0000038	2020-12-31	7025872 	200000 	3654365 	25023214 	517754 	453774 
C0000039	2024-12-31	2604937 	160000 	1967090 	19982261 	417911 	343750 
C0000039	2023-12-31	2007167 	160000 	1623340 	17700873 	371770 	304395 
C0000039	2022-12-31	1993482 	160000 	1318945 	18672748 	390680 	317521 
C0000039	2021-12-31	1655633 	160000 	1031424 	16673223 	321611 	298934 
C0000039	2020-12-31	1017923 	160000 	772490 	12629300 	233945 	210503 
C0000043	2024-12-31	7171092 	230000 	2221147 	12806349 	345191 	230588 
C0000043	2023-12-31	6714534 	230000 	1990559 	17358068 	455580 	302643 
C0000043	2022-12-31	5560387 	230000 	1687915 	18630068 	330093 	184343 
C0000043	2021-12-31	4262160 	230000 	1503572 	15939202 	456118 	345399 
C0000043	2020-12-31	1956942 	230000 	1158173 	14368061 	663130 	524338 
C0000046	2022-12-31	4396795 	200000 	2574261 	14081257 	478413 	322497 
C0000046	2021-12-31	4146841 	200000 	2296962 	20711569 	633818 	480651 
C0000046	2020-12-31	4000595 	200000 	1861507 	16915994 	818370 	496557 
C0000046	2019-12-31	4703999 	200000 	1364950 	14500887 	367954 	232074 
C0000046	2018-12-31	3553277 	200000 	1132876 	13939359 	331333 	239400 
C0000048	2024-12-31	8838631 	300000 	3073509 	20566724 	427071 	100851 
C0000048	2023-12-31	8981532 	300000 	2972658 	19139912 	715342 	370966 
C0000048	2022-12-31	8757820 	300000 	2650495 	17080569 	522363 	342370 
C0000048	2021-12-31	7945222 	300000 	2308125 	13422418 	347748 	212094 
C0000048	2020-12-31	6017730 	300000 	1637181 	10930121 	290027 	161603 
C0000050	2024-12-31	4010450 	100000 	1985504 	67021138 	452804 	314379 
C0000050	2023-12-31	3190830 	100000 	1671124 	55257774 	301436 	284977 
C0000050	2022-12-31	2078979 	100000 	1386147 	44132671 	308318 	237018 
C0000050	2021-12-31	1536368 	100000 	1149129 	28419837 	262463 	219299 
