company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000239	2022-12-31	1042000 	200000 	595000 	4387000 	32000 	27000 
C0000239	2021-12-31	999000 	200000 	569000 	2969000 	1000 	-5000 
C0000239	2020-12-31	930092 	200000 	573698 	3021962 	79565 	74082 
C0000239	2019-12-31	1063079 	200000 	499616 	3087768 	90398 	81441 
C0000239	2018-12-31	792447 	200000 	418175 	2174573 	94265 	88544 
C0000245	2024-12-31	3117997 	300000 	943834 	6377243 	210545 	160718 
C0000245	2023-12-31	2608045 	300000 	783116 	9751290 	234282 	213499 
C0000245	2022-12-31	1907865 	300000 	569617 	8791274 	192640 	190527 
C0000245	2021-12-31	1222871 	100000 	179090 	6610452 	121514 	137067 
C0000245	2020-12-31	642359 	100000 	42024 	2466896 	-64417 	-57976 
C0000246	2024-12-31	574611 	50000 	76176 	3787733 	-36887 	-43046 
C0000246	2023-12-31	641564 	50000 	119222 	3845918 	26110 	12067 
C0000246	2022-12-31	538622 	50000 	107155 	4437631 	67024 	58521 
C0000246	2021-12-31	78424 	50000 	48633 	0 	-1367 	-1367 
C0000263	2024-12-31	807122 	100000 	439531 	3766393 	70009 	49741 
C0000263	2023-12-31	869837 	100000 	408790 	3773127 	10922 	-7031 
C0000263	2022-12-31	1022267 	100000 	430937 	2801483 	-35111 	-53051 
C0000263	2021-12-31	1145627 	100000 	503987 	4062070 	53591 	34939 
C0000263	2020-12-31	1153551 	100000 	489048 	4291764 	37433 	24839 
C0000510	2024-12-31	1234550 	100000 	624030 	49873189 	303455 	269707 
C0000510	2023-12-31	830090 	100000 	354323 	27384650 	298086 	254323 
C0000534	2023-12-31	891641 	78229 	-132720 	497142 	-126956 	-160050 
C0000534	2022-12-31	904429 	78230 	27331 	551780 	-191157 	-152299 
C0000534	2021-12-31	1061040 	78230 	179630 	1179989 	-30422 	0 
C0000534	2020-12-31	800136 	78229 	179629 	1178659 	-12999 	14528 
C0000534	2019-12-31	623893 	68030 	15604 	1256606 	2652 	5567 
C0000535	2022-12-31	222972 	22542 	22542 	1197747 	56463 	49214 
C0000535	2021-12-31	275978 	88428 	88428 	719470 	16151 	15116 
C0000537	2024-12-31	1497864 	30000 	438309 	15085055 	153221 	157162 
C0000537	2023-12-31	1560142 	30000 	281147 	15310482 	182336 	134630 
C0000537	2022-12-31	1299868 	30000 	146516 	6880688 	131130 	116516 
C0000539	2023-12-31	1241000 	100000 	532000 	16817000 	233000 	222000 
C0000539	2022-12-31	1321564 	100000 	310207 	17393720 	233735 	203682 
C0000539	2021-12-31	292302 	100000 	106525 	6870616 	7516 	6525 
C0000540	2024-09-30	89827774 	13000000 	28968248 	126677379 	10916909 	9262261 
C0000540	2023-09-30	79490613 	13000000 	19705987 	119936378 	5402391 	5898295 
C0000540	2022-09-30	80019065 	13000000 	13807693 	99786767 	3238539 	-2937851 
C0000540	2021-09-30	30765337 	2500000 	6295943 	74302634 	4467660 	3492988 
C0000540	2020-09-30	17796512 	2500000 	2802955 	18692676 	378674 	302955 
C0000543	2024-12-31	1650546 	150000 	1083101 	4033913 	175013 	172790 
C0000543	2023-12-31	1332977 	150000 	910311 	2755852 	138721 	140950 
C0000543	2022-12-31	1534352 	150000 	769361 	2694014 	352865 	324875 
